Subject,Session,Condition,Region,Trial,Reference,Comparison,FirstStim,SecondStim,UserChoice,IsCorrect
S01,1,Hard-touch,B,1,0.07g,0.16g,0.07g,0.16g,2,true
S01,1,Hard-touch,A,2,0.07g,0.16g,0.07g,0.16g,2,true
S01,1,Hard-touch,B,3,0.07g,0.60g,0.60g,0.07g,1,true
S01,1,Hard-touch,C,4,0.60g,1.40g,0.60g,1.40g,1,false
S01,1,Hard-touch,A,5,1.40g,2.00g,1.40g,2.00g,1,false
S01,1,Hard-touch,B,6,0.60g,1.40g,1.40g,0.60g,1,true
S01,1,Hard-touch,C,7,0.07g,0.16g,0.07g,0.16g,2,true
S01,1,Hard-touch,C,8,0.16g,0.60g,0.60g,0.16g,1,true
S01,1,Hard-touch,A,9,0.07g,0.60g,0.60g,0.07g,1,true
S01,1,Hard-touch,A,10,0.60g,2.00g,0.60g,2.00g,2,true
S01,1,Hard-touch,B,11,0.16g,0.60g,0.16g,0.60g,2,true
S01,1,Hard-touch,C,12,0.07g,0.60g,0.07g,0.60g,2,true
S01,1,Hard-touch,A,13,0.16g,0.60g,0.60g,0.16g,1,true
S01,1,Hard-touch,B,14,0.60g,2.00g,2.00g,0.60g,1,true
S01,1,Hard-touch,C,15,0.60g,2.00g,0.60g,2.00g,2,true
S01,1,Hard-touch,B,16,1.40g,2.00g,1.40g,2.00g,2,true
S01,1,Hard-touch,A,17,0.60g,1.40g,0.60g,1.40g,2,true
S01,1,Hard-touch,C,18,1.40g,2.00g,2.00g,1.40g,2,false
S01,1,In-air,A,1,0.60g,2.00g,0.60g,2.00g,2,true
S01,1,In-air,C,2,0.07g,0.60g,0.07g,0.60g,2,true
S01,1,In-air,B,3,0.16g,0.60g,0.60g,0.16g,1,true
S01,1,In-air,A,4,0.07g,0.60g,0.07g,0.60g,2,true
S01,1,In-air,C,5,0.16g,0.60g,0.60g,0.16g,1,true
S01,1,In-air,A,6,1.40g,2.00g,2.00g,1.40g,2,false
S01,1,In-air,A,7,0.60g,1.40g,0.60g,1.40g,2,true
S01,1,In-air,C,8,0.07g,0.16g,0.07g,0.16g,2,true
S01,1,In-air,A,9,0.16g,0.60g,0.60g,0.16g,1,true
S01,1,In-air,B,10,0.60g,1.40g,1.40g,0.60g,2,false
S01,1,In-air,C,11,0.60g,1.40g,1.40g,0.60g,2,false
S01,1,In-air,C,12,1.40g,2.00g,1.40g,2.00g,2,true
S01,1,In-air,A,13,0.07g,0.16g,0.16g,0.07g,1,true
S01,1,In-air,B,14,0.07g,0.60g,0.60g,0.07g,1,true
S01,1,In-air,B,15,0.07g,0.16g,0.16g,0.07g,1,true
S01,1,In-air,C,16,0.60g,2.00g,2.00g,0.60g,1,true
S01,1,In-air,B,17,1.40g,2.00g,2.00g,1.40g,2,false
S01,1,In-air,B,18,0.60g,2.00g,2.00g,0.60g,1,true
