SubjectID,Trial,Condition,Area,Force,Target,Response,IsCorrect
S04,1,In-air,C,2.0g,6,6,1
S04,2,In-air,A,0.07g,8,0,0
S04,3,In-air,C,0.6g,6,6,1
S04,4,In-air,A,0.16g,8,1,0
S04,5,In-air,B,0.6g,6,6,1
S04,6,In-air,B,0.07g,5,0,0
S04,7,In-air,A,0.6g,5,6,0
S04,8,In-air,C,0.16g,6,7,0
S04,9,In-air,B,0.16g,6,6,1
S04,10,In-air,B,1.4g,6,6,1
S04,11,In-air,B,2.0g,5,5,1
S04,12,In-air,A,2.0g,5,5,1
S04,13,In-air,C,1.4g,8,8,1
S04,14,In-air,A,1.4g,8,8,1
S04,15,In-air,C,0.07g,7,6,0
S04,17,Active,A,0.6g,7,7,1
S04,18,Active,A,0.16g,7,0,0
S04,19,Active,C,0.6g,5,5,1
S04,20,Active,B,0.07g,8,1,0
S04,21,Active,A,2.0g,7,7,1
S04,22,Active,C,0.07g,8,1,0
S04,23,Active,B,1.4g,6,6,1
S04,24,Active,B,0.6g,5,5,1
S04,25,Active,A,0.07g,8,0,0
S04,26,Active,C,0.16g,5,5,1
S04,27,Active,C,1.4g,5,5,1
S04,28,Active,B,0.16g,5,0,0
S04,29,Active,B,2.0g,5,5,1
S04,30,Active,A,1.4g,5,5,1
S04,31,Active,C,2.0g,7,7,1
